Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-11 09:30:00-05:00,4593.39013671875,4603.25,4593.39013671875,4599.330078125,4599.330078125,134422915
2023-12-11 09:35:00-05:00,4599.240234375,4605.10986328125,4597.02001953125,4604.3798828125,4604.3798828125,95699352
2023-12-11 09:40:00-05:00,4604.66015625,4606.2998046875,4602.7099609375,4603.0498046875,4603.0498046875,77775686
2023-12-11 09:45:00-05:00,4602.9599609375,4605.759765625,4602.72998046875,4603.66015625,4603.66015625,72104520
2023-12-11 09:50:00-05:00,4603.83984375,4605.85986328125,4603.14990234375,4603.490234375,4603.490234375,69863116
2023-12-11 09:55:00-05:00,4603.52001953125,4606.68994140625,4599.14013671875,4606.47021484375,4606.47021484375,61229026
2023-12-11 10:00:00-05:00,4606.60009765625,4607.66015625,4602.330078125,4603.89013671875,4603.89013671875,72151664
2023-12-11 10:05:00-05:00,4603.89990234375,4607.06982421875,4603.2900390625,4607.0498046875,4607.0498046875,65492650
2023-12-11 10:10:00-05:00,4607.0,4607.7900390625,4605.25,4607.0,4607.0,61425390
2023-12-11 10:15:00-05:00,4606.9501953125,4607.080078125,4603.85009765625,4606.52001953125,4606.52001953125,62937208
2023-12-11 10:20:00-05:00,4606.52001953125,4607.89013671875,4605.0498046875,4605.39990234375,4605.39990234375,56999384
2023-12-11 10:25:00-05:00,4605.35986328125,4605.8701171875,4603.5,4603.91015625,4603.91015625,52086432
2023-12-11 10:30:00-05:00,4603.89013671875,4607.7099609375,4603.330078125,4607.52978515625,4607.52978515625,56996954
2023-12-11 10:35:00-05:00,4607.509765625,4609.1201171875,4605.35009765625,4605.97021484375,4605.97021484375,53579610
2023-12-11 10:40:00-05:00,4606.02978515625,4607.0498046875,4604.1201171875,4606.31982421875,4606.31982421875,49995350
2023-12-11 10:45:00-05:00,4606.27001953125,4612.0400390625,4606.2001953125,4611.0498046875,4611.0498046875,51806172
2023-12-11 10:50:00-05:00,4610.97998046875,4613.5,4610.83984375,4612.8798828125,4612.8798828125,0
